titre,sous_titre,description,cat,sous_cat,link,link_title,lieu,img,img_alt,date
John ADAMS,,"Compositeur, chef d’orchestre et écrivain, John Adams (1947-) est une figure majeure de la musique américaine. Ses œuvres, accessibles, font de lui l’un des compositeurs vivants les plus joués de nos jours.",,,./0041367-john-adams.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Adams-John/John-Adams-rencontre-a-la-Philharmonie-de-Paris-le-10-decembre-2016-©-Cite-de-la-musique-Philharmonie-de-Paris_350.jpg,Portrait du compositeur John Adams,1947-
Anton ARENSKI,,Anton Arenski (1861-1906) est un compositeur russe dont le style se trouve à la charnière des romantiques et du langage harmonique plus complexe de la génération suivante.,,,./0963749-biographie-anton-arenski.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Arenski-Anton/Portrait-du-compositeur-Anton-Arenski-carte-postale-1910_LQ.jpg,"Portrait du compositeur Anton Arenski, carte postale 1910",1861-1906
Daniel-François-Esprit AUBER,,"Auber (1782-1871) est l’un des grands compositeurs français de la première moitié du XIXe siècle. Avec son librettiste Eugène Scribe, ils deviennent les chefs de file de l’opéra français.",,,./0043753-biographie-daniel-francois-esprit-auber.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Auber-Daniel-francois-esprit/Auguste-Lemoine-Daniel-Francois-Esprit-Auber©Philharmonie-de-Paris-JM-Angles_LQ.jpg,"Auguste Lemoine, Daniel-François-Esprit Auber © Philharmonie de Paris, J.-M. Anglès",1782-1871
Carl Philipp Emanuel BACH,,"Carl Philipp Emanuel Bach (1714-1788) est le second fils de Johann Sebastian Bach. Claveciniste et compositeur, il est, par son écriture naturelle et sensible, l’un des précurseurs du style classique.",,,./0034792-biographie-carl-philipp-emanuel-bach.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Bach-Carl-Philipp-Emanuel/Carl-Philipp-Emanuel-Bach©Herzog-August-Bibliothek_LQ.jpg,Carl Philipp Emanuel Bach © Herzog August Bibliothek,1714-1788
Johann Christian BACH,,"Johann Christian Bach (1735-1782) est le dernier fils de Johann Sebastian Bach. Installé à Londres, il mêle les influences allemandes et italiennes pour composer dans un style passionné et sensuel.",,,./0043851-biographie-johann-christian-bach.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Bach-Johann-Christian/Thomas-Gainsborough-Jean-Chretien-Bach-1776©National-Portrait-Gallery-London-CC_LQ.jpg,"Thomas Gainsborough, Johann Christian Bach, 1776 © National Portrait Gallery London CC",1735-1782
Johann Sebastian BACH,,"Johann Sebastian Bach (1685-1750) est un compositeur majeur dans l’histoire de la musique. Son œuvre grandiose est écrite dans un style très dense, nourri d’un contrepoint complexe et très travaillé.",,,./0038240-biographie-johann-sebastian-bach.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Bach-Johann-Sebastian/Johann-Sebastian-Bach©Herzog-August-Bibliothek_LQ.jpg,Johann Sebastian Bach © Herzog August Bibliothek,1685-1750
Wilhelm Friedemann BACH,,"Wilhelm Friedemann Bach (1710-1784), virtuose du clavier, est le premier fils de Johann Sebastian Bach. Le peu d’œuvres qui nous est parvenu de lui montre un style raffiné entre baroque et classique.",,,./0036950-biographie-wilhelm-friedemann-bach.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Bach-Wilhelm-Friedemann/Wilhelm-Friedemann-Bach©Herzog-August-Bibliothek_LQ.jpg,Wilhelm Friedemann Bach © Herzog August Bibliothek,1710-1784
Samuel BARBER,,"Samuel Barber (1910-1981) est un compositeur américain récompensé à de nombreuses reprises pour ses œuvres. Son écriture, presque post-romantique, recèle toujours de belles lignes mélodiques.",,,./0053978-biographie-samuel-barber.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Barber-Samuel/Carl-Van-Vechten-Samuel-Barber-1944©Library-of-congress_LQ.jpg,"Carl Van Vechten, Samuel Barber, 1944 © Library of congress",1910-1981
Béla BARTÓK,,"Béla Bartók (1881-1945) est un compositeur et pianiste hongrois. Passionné par la musique populaire hongroise, qu’il recueille et étudie, ses œuvres sont nourries du folklore de son pays.",,,./0051944-biographie-bela-bartok.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Bartok-Bela/Bela-Bartok-ÖNB-Bildarchiv-und-Grafiksammlung_LQ.jpg,Béla Bartók en 1930 © Österreichische Nationalbibliothek,1881-1945
Ludwig Van BEETHOVEN,,"Ludwig Van Beethoven (1770-1827), pianiste virtuose et compositeur de génie, marque le début de la musique romantique à travers ses œuvres originales, audacieuses et passionnées.",,,./0038954-biographie-ludwig-van-beethoven.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Van-beethoven-ludwig/Beethoven-composant-la-Missa-Solemnis-par-Joseph-Carl-Stieler-portrait-a-l-huile-1819-ou-1820©Beethoven-Haus-Bonn_LD.jpg,Beethoven composant la Missa Solemnis par Joseph Carl Stieler portrait à l’huile 1819 ou 1820 © Beethoven Haus Bonn,1770-1827
Karol BEFFA,,"Karol Beffa (1973-) est un compositeur et pianiste improvisateur. Diplômé du CNSM de Paris, il multiplie les études dans de nombreux domaines (littérature, histoire...), parallèlement à la musique.",,,./0058530-biographie-karol-beffa.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Beffa-Karol/Karol-Beffa-Damien-Faber_350.jpg,Karol Beffa. Photo de Damien Faber/CC BY-SA 4.0,1973-
Luciano BERIO,,"Luciano Berio (1925-2003) est un compositeur italien d’avant-garde abordant tous les genres. Son œuvre, liée aux inventions technologiques, est emblématique de la création musicale du XXe siècle.",,,./0051474-biographie-luciano-berio.aspx,,,https://drop.philharmoniedeparis.fr/CMDP/CMDP000005500/Recueil-Photographies-Portraits-de-Luciano-Berio-Daniel-Cande©BnF-Gallica_LQ.JPG,Portrait du compositeur Luciano Berio. Daniel Cande © Gallica,1925-2003
Hector BERLIOZ,,"Hector Berlioz (1803-1869), compositeur romantique par excellence, est l’un des pères de la musique à programme. Dans ses œuvres grandioses et originales, il révolutionne l’écriture orchestrale.",,,./0038370-biographie-hector-berlioz.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Berlioz-Hector/Hector-Berlioz-d-apres-Pierre-Petit©Bnf_LD.jpg,Portrait du musicien Hector Berlioz © BnF - par Pierre Petit,1803-1869
Leonard BERNSTEIN,,"Charismatique et énergique, Leonard Bernstein (1918-1990) est compositeur, pianiste, chef d’orchestre et pédagogue. Ses œuvres aux multiples influences sont représentatives de l’Amérique du XXe.",,,./0053875-biographie-leonard-bernstein.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/bernstein-leonard/Bernstein-leonard-par-jack-mitchell©wikimedia_LD.jpg,Portrait du compositeur Bernstein Leonard par Jack Mitchell ©wikimedia,1918-1990
Georges BIZET,,"Georges Bizet (1838-1875) est mondialement connu pour son célèbre opéra Carmen. Pourtant, le compositeur a mis du temps à trouver son style et à obtenir, enfin, la reconnaissance du public.",,,./0039019-biographie-georges-bizet.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/bizet-georges/Georges-Bizet-1870©Gallica-Bnf_LQ.jpg,Portrait du compositeur Georges Bizet 1870 © Gallica Bnf,1838-1875
Philippe BOESMANS,,"Pianiste dans un premier temps, Philippe Boesmans (1936-2022) ne se consacre que tardivement à la composition. Fou d’opéras, grand admirateur de Wagner, il s’épanouit dans le genre lyrique.",,,./0055278-biographie-philippe-boesmans.aspx,,,/ui/skins/MEDIA/images/picto-pages-decouverte-artiste.svg,Culture Musicale © DR,1936-2022
Alexandre BORODINE,,"Alexandre Borodine (1833-1887) partage sa vie entre la chimie et la musique. Compositeur du groupe des Cinq, il voyage en Europe, s’ouvre à la musique allemande et rencontre Liszt.",,,./0051288-biographie-alexandre-borodine.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Borodine-Alexandre/Alexandre-Borodine-d-apres-le-tableau-d-A-Levinstein-1910©Gallica-BnF_LQ.jpg,"Portrait du compositeur Alexandre Borodine, d’après le tableau d’A. Levinstein, 1910 © Gallica BnF",1833-1887
Pierre BOULEZ,,"Pierre Boulez (1925-2016) est compositeur et chef d’orchestre. Ouvert aux innovations de son époque, il est à l’origine de plusieurs institutions destinées à promouvoir la musique du XXe siècle.",,,./0748111-biographie-pierre-boulez.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Boulez-pierre/Joost-Evers-Anefo-Pierre-Boulez-1968©Nationaal-Archief-Nederland-CC_LQ.jpg,"Portrait du compositeur Pierre Boulez - Joost Evers / Anefo, Pierre Boulez, 1968 © Nationaal Archief Nederland CC",1925-2016
Johannes BRAHMS,,"Épris de littérature, Johannes Brahms (1833-1897) est un pianiste virtuose et un compositeur romantique passionné. Digne héritier de Beethoven, il conjugue forme traditionnelle et influence populaire.",,,./0039834-biographie-johannes-brahms.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Brahms-Johannes/Johannes-Brahms©Library-of-Congress_LQ.jpg,Portrait du compositeur Johannes Brahm © Library of Congress,1833-1897
Benjamin BRITTEN,,"Inspiré par le folklore de son pays et admirateur de Purcell, Benjamin Britten (1913-1976) sait admirablement mettre en musique la langue anglaise, et compose pour les grands talents de son époque.",,,./0041319-biographie-benjamin-britten.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/britten-benjamin/Benjamin-Britten-Howard-Coster-1938©National-Portrait-Gallery-London-CC_LQ.jpg,Portrait du compositeur Benjamin Britten par Howard Coster en 1938 © National Portrait Gallery London,1913-1976
John CAGE,,"Curieux de tout, John Cage (1912-1992) est un compositeur iconoclaste qui a profondément marqué l’art et la musique du XXe siècle en remettant en question les fondements mêmes des disciplines.",,,./0034297-biographie-john-cage.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Cage-John/Portrait-de-John-Cage-photographie-de-Rob-Bogaerts-1988©National-Archives-of-the-Netherlands-Anefo_LQ.jpg,"Portrait de John Cage, photographie de Rob Bogaerts, 1988 © National Archives of the Netherlands / Anefo",1912-1992
Alfredo CASELLA,,"Compositeur et chef d’orchestre, Alfredo Casella (1883-1947) est le porte parole d’un renouveau de la musique italienne. Il dirige les musiques de son époque mais aussi Vivaldi et Monteverdi.",,,./0041007-biographie-alfredo-casella.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Casella-Alfredo/Portrait-de-Alfredo-Casella©Library-of-Congress_LQ.jpg,Portrait de Alfredo Casella © Library of Congress,1883-1947
Emmanuel CHABRIER,,"Côtoyant de nombreux artistes, Emmanuel Chabrier (1841-1894) quitte son poste au ministère de l’Intérieur pour se consacrer à la musique et à la composition d’œuvres aux harmonies originales.",,,./0052945-biographie-emmanuel-chabrier.aspx,,,https://drop.philharmoniedeparis.fr/biographies/compositeurs/Chabrier-emmanuel/Edouard-Manet-Emmanuel-Chabrier©Ordrupgaard-Art-Museum_LQ.jpg,"Edouard Manet, Emmanuel Chabrier © Ordrupgaard Art Museum",1841-1894
